Name,Type
Фортечна,вулиця
Набережна Перемоги,вулиця
Слобожанський,проспект
Донецьке,шосе
Марії Лисиченко,вулиця
Старочумацька,вулиця
Дмитріївська,вулиця
Станційна,вулиця
Овідіопольська,дорога
Миколаївська,дорога
Чорноморського Козацтва,вулиця
Отамана Головатого,вулиця
Новощіпний Ряд,вулиця
Балківська,вулиця
Новосельського,вулиця
Мечникова,вулиця
Італійська,вулиця
Ніни Строкатої,вулиця
Маяковського,провулок
Гаванна,вулиця
Військовий,узвіз
Пантелеймонівська,вулиця
Академіка Глушкова,проспект
Єднання,вулиця
Вадима Благовісного,вулиця
Миколаївське,шосе
В'ячеслава Чорновола,шосе
Приморська,вулиця
Ізмаїльська,вулиця
Словʼянська,вулиця
1-ї Танкової Бригади,вулиця
Перемоги,проспект
Ленина,проспект
25 Серпня,вулиця
Малевінського,вулиця
Заводська,вулиця
Київська,вулиця
Ново-Київська,вулиця
Червоної Калини,проспект
Рональда Рейгана,вулиця
Володимира Висоцького,бульвар
Леоніда Бикова,бульвар
Олександри Екстер,вулиця
Лісківська,вулиця
Костянтина Данькевича,вулиця
Вікентія Беретті,вулиця
Сержа Лифаря,вулиця
Градинська,вулиця
Миколи Лаврухіна,вулиця
Будищанська,вулиця
Оноре де Бальзака,вулиця
Окружна,вулиця
Володимира Антоновича,вулиця
Кульпарківська,вулиця
Митрополита Андрея,вулиця
Свободи,проспект
Івана Підкови,площа
Миколи Гоголя,вулиця
Генерала Петра Григоренка,площа
Гетьмана Петра Дорошенка,вулиця
Ірини Фаріон,вулиця
Соломії Крушельницької,вулиця
Січових Стрільців,вулиця
Торгова,вулиця
Підвальна,вулиця
Максима Кривоноса,вулиця
Миколи Миклухо-Маклая,вулиця
Памви Беринди,вулиця
Сербська,вулиця
Краківська,вулиця
Ставропігійська,вулиця
Корнякта,вулиця
Щирецька,вулиця
Привокзальна,вулиця
Запорізьке,шосе
Шолом-Алейхема,вулиця
Райдужна,вулиця
Миколи Кибальчича,вулиця
Івана Микитенка,вулиця
Едуарда Вільде,вулиця
Алішера Навої,проспект
Дарницький,бульвар
Юності,вулиця
Кіото,вулиця
Мілютенка,вулиця
Лісовий,проспект
Михайла Бойчука,вулиця
Либідська,площа
Богдана Гаврилишина,вулиця
Бессарабська,площа
Казарменна,вулиця
Павлівська,вулиця
Дмитрівська,вулиця
Чеховський,провулок
Обсерваторна,вулиця
Пирогова,вулиця
Львівська,площа
Пейзажна,алея
Кудрявський,узвіз
Європейська,площа
Героїв Дніпра,вулиця
Левка Лукʼяненка,вулиця
Володимира Івасюка,проспект
Мінська,площа
Сантьяго-де-Чилі,площа
Олександра Архипенка,вулиця
Дегтярівська,вулиця
Покровська,вулиця
Андріївська,вулиця
Борисоглібська,вулиця
Петра Сагайдачного,вулиця
Ігорівська,вулиця
Іллінська,вулиця
Оленівська,вулиця
Миколи Кравченка,вулиця
Макіївська,вулиця
Берестецька,вулиця
Дубровицька,вулиця
Автозаводський,провулок
Красицького,вулиця
Байди-Вишневецького,вулиця
Мукачівська,вулиця
Сокальська,вулиця
Коноплянська,вулиця
Шахтарська,вулиця
Вербова,вулиця
Аманда Струве,вулиця
Куренівська,вулиця
Копилівська,вулиця
Подільський,узвіз
Загорівська,вулиця
Овруцька,вулиця
Печенізька,вулиця
Лукʼянівська,вулиця
Шолуденка,вулиця
Мокра,вулиця
Соломʼянська,площа
Митрополита Василя Липківського,вулиця
Генерала Шаповала,вулиця
Авіаконструктора Антонова,вулиця
Валерія Лобановського,проспект
Чоколівський,бульвар
Севастопольська,площа
Августина Волошина,вулиця
Відрадний,проспект
Героїв Севастополя,вулиця
Андрія Мельника,вулиця
Смілянська,вулиця
Федора Ернста,вулиця
Івана Пулюя,вулиця
Кадетський Гай,вулиця
Академіка Білецького,вулиця
Авторемонтна,вулиця
Академіка Шалімова,вулиця
Козелецька,вулиця
Миколи Шпака,вулиця
Петра Нестерова,вулиця
Оранжерейна,вулиця
Корабельна,вулиця
Вокзальна,площа
Січеславська,вулиця
Георгія Кірпи,вулиця
Івана Огієнка,вулиця
Політехнічний,провулок
Сімʼї Шовкоплясів,вулиця
Лебединська,вулиця
Гетьмана Данила Апостола,вулиця
Озерна,вулиця
Петра Калнишевського,вулиця
Литовський,проспект
Івана Виговського,вулиця
Європейського Союзу,проспект
Георгія Гонгадзе,проспект
Полкова,вулиця
Полковий,провулок
Салютна,вулиця
Естонська,вулиця
Стеценка,вулиця
Добринінська,вулиця
Академіка Навашина,вулиця
Братиславська,вулиця
Анни Ахматової,вулиця
Тростянецька,вулиця
Архітектора Вербицького,вулиця
Братства тарасівців,вулиця
Братства Тарасівців,вулиця
Михайла Гришка,вулиця
Миколи Бажана,проспект
Олександра Мишуги,вулиця
Лариси Руденко,вулиця
Бориса Гмирі,вулиця
Срібнокільська,вулиця
Княжий Затон,вулиця
Вишняківська,вулиця
Клеманська,вулиця
Дніпровська,набережна
Юрія Шумського,вулиця
Павла Тичини,проспект
Амвросія Бучми,бульвар
Івана Миколайчука,вулиця
Русанівська,набережна
Євгена Сверстюка,вулиця
Бориса Мартоса,вулиця
Броварський,проспект
Ентузіастів,вулиця
Березняківська,вулиця
Князя Романа Мстиславича,вулиця
Верховної Ради,бульвар
Дарницька,площа
Празька,вулиця
Володимира Сосюри,вулиця
Гетьмана Павла Полуботка,вулиця
Вінстона Черчилля,вулиця
Бориспільська,вулиця
Дениса Антіпова,вулиця
Юрія Литвинського,вулиця
Михайла Кравчука,вулиця
Соборності,проспект
Харківське,шосе
Леоніда Каденюка,проспект
Зарічна,вулиця
Петра Григоренка,проспект
Щусєва,вулиця
Гарматна,вулиця
Івана Дзюби,вулиця
Родини Бунґе,вулиця
Олександра Махова,вулиця
Вахтанга Кікабідзе,вулиця
Симиренка,вулиця
Миколи Трублаїні,вулиця
Соборна,вулиця
Хмельницька,вулиця
Лікарська,вулиця
Ровенська,вулиця
Чорнобильська,вулиця
Південо-Українська,вулиця
Каштанова,вулиця
Ярославська,вулиця
Пономарьова,вулиця
Будівельників,провулок
Синьоозерна,вулиця
Газопровідна,вулиця
Михайла Гориня,вулиця
Ганни Барвінок,вулиця
Петра Вершигори,вулиця
Героїв Енергетиків,вулиця
Пухівська,вулиця
Мостищанська,вулиця
Флоренції,вулиця
Ованеса Туманяна,вулиця
Ігоря Шамо,бульвар
Раїси Окіпної,вулиця
Русанівський,бульвар
Дзиґи Вертова,провулок
Микільсько-Слобідська,вулиця
Митрополита Андрея Шептицького,вулиця
Євгена Маланюка,вулиця
Андрія Аболмасова,вулиця
Пантелеймона Куліша,вулиця
Всеволода Нестайка,вулиця
Бориспільське,шосе
Гвардійців-Широнінців,вулиця
Шовковична,вулиця
Новонаводницька,вулиця
Андріївський,узвіз
Костянтинівська,вулиця
Євгена Чикаленка,вулиця
Нижній Вал,вулиця
Кловський,узвіз
Шота Руставелі,вулиця
Антоновича,вулиця
Велика Васильківська,вулиця
Ярославів Вал,вулиця
Крайня,вулиця
Воскресенський,проспект
Крутий,узвіз
Ґарета Джонса,провулок
Межигірська,вулиця
Григорія Сковороди,вулиця
Житньоторзька,вулиця
Кирилівська,вулиця
Нагірна,вулиця
Князя Володимира Мономаха,вулиця
Стадіонна,вулиця
Єреванська,вулиця
Преображенська,вулиця
Тетяни Яблонської,вулиця
Валерія Марченка,площа
Данила Щербаківського,вулиця
Сирецька,вулиця
Охтирський,провулок
Пластова,вулиця
Павла Усенка,вулиця
Гната Хоткевича,вулиця
Остафія Дашкевича,вулиця
Оборони Києва,вулиця
Старосінна,площа
Пироговська,вулиця
Гетьмана Сагайдачного,бульвар
Троїцька,вулиця
Базарна,вулиця
Українських Героїв,площа
Вереснева,вулиця
Деревообробний,провулок
Баренбойма,вулиця
Колекторна,вулиця
Світла,вулиця
Старобориспільська,вулиця
Табірна,вулиця
Черняховського,вулиця
Індустріальний,провулок
Уманська,вулиця
Промислова,вулиця
Архітектора Ніколаєва,вулиця
Очаківська,вулиця
Левка Мацієвича,вулиця
Василя Жуковського,вулиця
Маричанська,вулиця
Васильківська,вулиця
Академіка Книшова,вулиця
Сумська,вулиця
Павла Потоцького,вулиця
Планетарна,вулиця
Смерекова,вулиця
Повітрофлотська,вулиця
Українських Повстанців,вулиця
Шевченка,провулок
Ґолди Меїр,вулиця
Вовчогірська,вулиця
Юрія Кондратюка,вулиця
Незалежності,майдан
Наводницька,площа
Нижньоюрківський,провулок
Банкова,вулиця
Літня,вулиця
Поїзна,вулиця
Січеславський Шлях,вулиця
Югославська,вулиця
Сомова,вулиця
Гірнича,вулиця
Нарвська,вулиця
Гринкевича,проспект
Путилівська,вулиця
Сіверська,вулиця
Миру,проспект
Марії Ульянової,вулиця
Карпинського,вулиця
Дзержинського,проспект
Ходаковського,вулиця
Автотранспортників,вулиця
Ревякіна,вулиця
Знаменська,вулиця
Тімірязєва,вулиця
Мар’їнська,вулиця
Ватутіна,проспект
Університетська,вулиця
Лабутенка,вулиця
Таманський,проспект
Литейників,вулиця
Прикордонна,вулиця
Собранецька,вулиця
Покровський,провулок
Сергія Берегового,вулиця
Житомирська,вулиця
Козацька,вулиця
Камінь-Каширський,провулок
Карпатської Січі,вулиця
Россіні,провулок
Орджонікідзе,вулиця
Артемівська,вулиця
Бучми,вулиця
Енергетиків,проспект
Дмитра Багалія,вулиця
Тампере,вулиця
Леонтовича,вулиця
Івана Франка,вулиця
Жилянська,вулиця
Тарасівська,вулиця
Ковпака,вулиця
Кільцева,дорога
Вʼячеслава Чорновола,вулиця
Загородня,вулиця
Олександра Бринжали,вулиця
Павла Вірського,бульвар
Ружинська,вулиця
Бастіонна,вулиця
Лесі Українки,площа
Володимиро-Либідська,вулиця
Байкова,вулиця
Борщагівська,вулиця
Фанерна,вулиця
Ярослава Гашека,бульвар
Фанерний,провулок
Вифлеємська,вулиця
Жовтнева,вулиця
Казимира Малевича,вулиця
Романа Шухевича,проспект
Труханівська,вулиця
Андрія Первозваного,площа
Георгія Тороповського,вулиця
Сергія Набоки,вулиця
Івана Котляревського,бульвар
Миропільська,вулиця
Олександра Лазаревського,вулиця
Григорія Чупринки,вулиця
Німецька,вулиця
Івана Федорова,вулиця
Дружби,вулиця
Науки,проспект
Конотопської Битви,площа
Лугова,вулиця
Миколи Міхновського,бульвар
Берестейський,проспект
Обʼїзна Дорога,вулиця
Академіка Михайла Грушевського,вулиця
Данила Галицького,вулиця
Галицька,вулиця
Шепети,вулиця
Федорова,вулиця
Брестська,вулиця
Авіаторів,вулиця
Харківська,вулиця
Полтавське,шосе
Золотоустівська,вулиця
Глібова,вулиця
Андрія Ліньова,вулиця
Металургів,проспект
Ялтинська,вулиця
Фрунзе,вулиця
Красноармєйскій,провулок
Леніна,вулиця
6-й Ленінський,провулок
Мадридська,вулиця
Лермонтова,вулиця
Луначарського,вулиця
Коцюбинського,вулиця
Павла Сороки,вулиця
19-та,лінія
Новопромислова,вулиця
Будьонного,вулиця
Ровеньківська,вулиця
Павловская,вулиця
Октябрьская,вулиця
16-та,лінія
Пархоменка,проспект
Героєв ВОВ,площа
Почтовая,вулиця
Челюскінців,вулиця
Магнітогорська,вулиця
Алексєєва,вулиця
Гудованцева,вулиця
Дачная,вулиця
Лицоєва,вулиця
Звейнека,вулиця
Победоносна,вулиця
Чорноморська,вулиця
Республіканська,вулиця
Донецька,вулиця
Гагаріна,вулиця
Піщана,вулиця
Кармелюка,вулиця
1-ша,лінія
Панькова,вулиця
Замкова Гора,вулиця
Академіка Заболотного,вулиця
Дніпровське,шосе
Столичне,шосе
Станкобудівельна,вулиця
2-а Київська,вулиця
Кірова,вулиця
Валентинівська,вулиця
Деповська,вулиця
395-ї Шахтьорской Дівізіі,вулиця
1-й Товариський,провулок
Демьохіна,вулиця
Котельникова,вулиця
Польського,вулиця
Красна,площа
Луганське,шосе
Віктора Пятьоркіна,вулиця
Рибаса,вулиця
Пушкіна,вулиця
Корольова,вулиця
Волгоградська,вулиця
Берестейське,шосе
Велика Кільцева,вулиця
Академіка Палладіна,проспект
Олександра Шеремета,вулиця
Революції,площа
Цупова,вулиця
Карла Лібкнехта,вулиця
Героїв Майдану,вулиця
Дьоміна,вулиця
Ритсланда,вулиця
Громадянська,вулиця
Городоцька,вулиця
Адама Міцкевича,площа
Володимира Винниченка,вулиця
Миколи Корищенка,вулиця
Магістральна,вулиця
Галицький Шлях,вулиця
Вірменська,вулиця
Головна,вулиця
Марії Заньковецької,вулиця
Еліезера Штейнбарга,вулиця
Богдана Хмельницького,вулиця
Миколи Лисенка,вулиця
Фрідріха Шіллера,вулиця
Руська,вулиця
Щербанюка,вулиця
Сергія Скальда,вулиця
лейтенанта Маланчука Олександра,вулиця
Ольги Кобилянської,вулиця
Василя Лесина,вулиця
Валерія Красняна,вулиця
Лукʼяна Кобилиці,вулиця
Мирона Кордуби,вулиця
Дмитра Загула,вулиця
Братів Руснаків,вулиця
Ірини Вільде,вулиця
Омеляна Поповича,вулиця
Богдана Лепкого,вулиця
Северина Наливайка,вулиця
Модеста Менцинського,вулиця
Євгена Гребінки,вулиця
Професорська,вулиця
Іванова,вулиця
Українська,вулиця
Яценка,вулиця
Моторобудівників,проспект
Червона,вулиця
Гоголя,вулиця
Приходська,вулиця
Олександрівська,вулиця
Благовіщенська,вулиця
Шкільна,вулиця
Вʼячеслава Зайцева,вулиця
Якова Новицького,вулиця
Ломоносова,вулиця
Путєйская,вулиця
Токмацька,вулиця
Єлизавети Щедрович,вулиця
Семафорна,вулиця
Соборний,проспект
Вознесенівський,узвіз
Патріотична,вулиця
Лілії Лобанової,вулиця
Еспланадна,вулиця
Басейна,вулиця
Величара,вулиця
Металістів,площа
Сергія Серікова,вулиця
Автопаркова,вулиця
Романтична,вулиця
Жасмінна,вулиця
Володарського,вулиця
Лібавська,вулиця
Панаса Мирного,вулиця
Олександра Горюка,вулиця
Йоганна Вольфганга фон Гете,вулиця
Олександра Доброго,вулиця
Якоба фон Петровича,вулиця
Кафедральна,вулиця
Старожучківський Шлях,вулиця
Хотинська,вулиця
Бурга,вулиця
Синагоги,вулиця
Фастівська,вулиця
Олексія Поради,вулиця
Гіршмана,вулиця
Дзюби,вулиця
Переможців,вулиця
Головатого,вулиця
Урлівська,вулиця
Міста Шалетт,вулиця
Мрії,вулиця
Олександра Копиленка,вулиця
Малом’ясницька,вулиця
Георгія Тарасенка,вулиця
Героїв Харкова,проспект
Полтавський Шлях,вулиця
Мунфіша,алея
Мистецтв,вулиця
Полтавський,провулок
Виноградний,провулок
Приозерна,вулиця
Павла Загребельного,вулиця
Марії Приймаченко,бульвар
Катерини Білокур,вулиця
Політехнічна,вулиця
Михайла Брайчевського,вулиця
Дмитра Годзенка,вулиця
Благовіщенський,майдан
Клочківська,вулиця
Дизельна,вулиця
Трінклера,вулиця
Данилевського,вулиця
Квітневий,провулок
Василя Порика,проспект
Світлицького,вулиця
Різницька,вулиця
Польовий,провулок
Олекси Тихого,вулиця
Бердичівська,вулиця
Кловська,площа
Іжкарська,вулиця
Трускавецька,вулиця
Академіка Янгеля,вулиця
сакур,алея
Притисько-Микільська,вулиця
Пшенична,вулиця
Проектна,вулиця
Якова Качури,вулиця
Миколи Василенка,вулиця
Арсенальна,вулиця
Редутний,провулок
Добровольчих Батальйонів,вулиця
Радіальна,вулиця
Козятинська,вулиця
Зоологічна,вулиця
Молдовська,вулиця
Олександра Орлова,вулиця
Зернова,вулиця
Кульчицького,вулиця
Динамівська,вулиця
Короленка,провулок
Слюсарний,провулок
32-га Садова,вулиця
34-та Садова,вулиця
31-ша Садова,вулиця
33-тя Садова,вулиця
30-та Садова,вулиця
29-та Садова,вулиця
28-ма Садова,вулиця
27-ма Садова,вулиця
24-та Садова,вулиця
23-тя Садова,вулиця
22-га Садова,вулиця
21-ша Садова,вулиця
20-та Садова,вулиця
19-та Садова,вулиця
18-та Садова,вулиця
17-та Садова,вулиця
16-та Садова,вулиця
15-та Садова,вулиця
12-та Садова,вулиця
11-та Садова,вулиця
10-та Садова,вулиця
9-та Садова,вулиця
8-ма Садова,вулиця
7-ма Садова,вулиця
6-та Садова,вулиця
4-та Садова,вулиця
3-тя Садова,вулиця
2-га Садова,вулиця
5-й Садовий,провулок
4-й Садовий,провулок
3-й Садовий,провулок
2-й Садовий,провулок
1-й Садовий,провулок
1-ша Садова,вулиця
Кудрявська,вулиця
Михайла Донця,вулиця
Бориславська,вулиця
Миронівська,вулиця
Патріотів,вулиця
Карпатська,вулиця
Паустовського,вулиця
Чернівецька,вулиця
Постова,вулиця
Аттили Могильного,вулиця
Лаврський,провулок
Купʼянська,вулиця
Глісада Джуса,провулок
Лисичанський,провулок
Нечуя-Левицького,вулиця
Клінічна,вулиця
Андрія Головка,вулиця
Новонародний,провулок
Караїмський,провулок
Гучний,провулок
Василівська,вулиця
Освіти,вулиця
Кавказька,вулиця
Запечерний,провулок
Лейпцизька,вулиця
Чорноглазівська,вулиця
Руставелі,вулиця
Гімназійна,набережна
Мойсеївська,вулиця
Аерокосмічний,проспект
Євгена Котляра,вулиця
Велика Гончарівська,вулиця
Дудинської,вулиця
Пестрікова,вулиця
Павлівський,майдан
Оборонна,вулиця
Даля,вулиця
Совєтська,вулиця
Шелкового,вулиця
Воровського,вулиця
Газєти Луганской правди,вулиця
Лісова,вулиця
Калинова,вулиця
Крупʼярська,вулиця
Петра Могили,вулиця
Чернеча Гора,вулиця
Музична,вулиця
Карла Маркса,вулиця
9-та,лінія
Сент-Етьєновская,вулиця
Примерівська,вулиця
Скрипника,вулиця
Кругова,вулиця
Виробнича,вулиця
Колерова,вулиця
4-й Лутугінський,проїзд
Поезії,майдан
Алчевських,вулиця
Іподрому,майдан
Волонтерська,вулиця
Героїв Небесної Сотні,майдан
МОПРа,вулиця
Новодарницька,вулиця
Геннадія Афанасьєва,вулиця
Ісмаїла Гаспринського,вулиця
Павла Чубинського,вулиця
Санаторна,вулиця
Слов’янська,вулиця
Ярмарковий,провулок
Гребенюківська,вулиця
Черновський,провулок
Ленінградська,вулиця
Революційна,вулиця
Вишнева,вулиця
Руднєва,вулиця
Джамбула,вулиця
3-тя Донецька,вулиця
23-тя,лінія
Красноармєйская,вулиця
21-ша,лінія
Ігоря Качуровського,провулок
Оборонний Вал,майдан
Плеханівський,провулок
Симона Петлюри,вулиця
Артема,вулиця
2-й Маріупольський,проїзд
Керченська,вулиця
Ярослава Мудрого,вулиця
Лисенка,вулиця
Золотоворітський,проїзд
Військова,вулиця
Вернадского,проспект
Садовського,вулиця
Андрея Шептицького,вулиця
Турецька,вулиця
Семена Гулака-Артемовського,вулиця
Герцена,вулиця
Буковинська,вулиця
Ярошинської,вулиця
Устима Кармелюка,вулиця
Зелена,вулиця
Лубенська,вулиця
Синельникова,вулиця
Кишинівська,вулиця
Олеся Гончара,вулиця
Євгенія Єніна,вулиця
Аскольдівська,вулиця
Краснодонська,вулиця
Іваничівське,шосе
Купріна,вулиця
Устилузька,вулиця
Елеваторна,вулиця
Полеглих Комунарів,проспект
Сєченова,вулиця
Ульріха,вулиця
Лопанська,набережна
Бурсацький,узвіз
Равська,вулиця
Рибасівська,вулиця
Володимира Великого,вулиця
Володимира Вернадського,вулиця
Стрийська,вулиця
Святого Івана Павла II,проспект
Луганська,вулиця
Варшавська,вулиця
Луки Долинського,вулиця
Під Дубом,вулиця
Клепарівська,вулиця
Золота,вулиця
Михайла Яцкова,вулиця
Петра Панча,вулиця
Степана Смаль-Стоцького,вулиця
Княгині Ольги,вулиця
Богдана Кріля «Пірата»,вулиця
Зубрівська,вулиця
Пасічна,вулиця
Джорджа Вашингтона,вулиця
Академіка Андрія Сахарова,вулиця
Щорса,вулиця
Журавлівський,узвіз
Ірини Бугримової,майдан
Сяйво,вулиця
Запорізька,вулиця
Дорожня,вулиця
Чапаєва,вулиця
Западна,вулиця
Чехова,вулиця
Франка,вулиця
Чуйкова,вулиця
Василя Симоненка,вулиця
Івана Рубчака,вулиця
Колесникова,вулиця
Московська,вулиця
3-я Маріупольська,вулиця
Смоленська,вулиця
Воїнів-Інтернаціоналістів,вулиця
Монтажна,вулиця
Комунальна,вулиця
Набережна,вулиця
Демідова,вулиця
Каховська,вулиця
Любові Малої,проспект
Плетнівський,провулок
Кузнечна,вулиця
Куликівський,узвіз
Дарвіна,вулиця
Тюрінська,вулиця
Мар'ївська,вулиця
Ново-Віринська,вулиця
Світязька,вулиця
Семиградська,вулиця
Саксаганського,вулиця
Коломийська,вулиця
Енергетична,вулиця
Прутська,вулиця
Машинобудівників,вулиця
Василя Сімовича,вулиця
Михайла Коцюбинського,вулиця
Йозефа Главки,вулиця
Марка Вовчка,вулиця
Івана Богуна,вулиця
Олександрівський,проспект
Донця-Захаржевського,вулиця
Віринська,вулиця
15-та,лінія
Салтівське,шосе
Старих Більшовиків,вулиця
Юних Піонерів,вулиця
Радянських Космонавтів,вулиця
Парашутна,вулиця
Коротка,вулиця
Сторожинецька,вулиця
Учительська,вулиця
Генерала Острякова,проспект
Гагарина,проспект
Президентская,дорога
Академіка Павлова,вулиця
Антропова-2,вулиця
Кедріна,вулиця
Світлого Путі,вулиця
Антропова,вулиця
Ямальська,вулиця
Багратіона,вулиця
Вишнеградського,вулиця
Червоножовтнева,вулиця
Арктики,вулиця
Мала Панасівська,вулиця
23 Серпня,вулиця
Південнопроєктна,вулиця
Декабристів,вулиця
Котовського,вулиця
Грабовського,вулиця
9-го Січня,провулок
Іонова,вулиця
Куйбишева,вулиця
Первомайська,вулиця
Праці,проспект
Майська,вулиця
Садовий,проспект
Рослого,вулиця
Лагутенка,проспект
Велика Магістральна,вулиця
Прохорівська,вулиця
Клайпеди,вулиця
Федора Зайцева,вулиця
Тушинська,вулиця
Таврійська,вулиця
Сігова,вулиця
Ілліча,проспект
Театральний,проспект
Панфілова,проспект
Бакинських Комісарів,площа
50-ї Гвардійської Дивізії,вулиця
Раздольна,вулиця
Сихівська,вулиця
Івана Кавалерідзе,вулиця
301-ї Стрілецької Дивізії,вулиця
Комсомольський,проспект
25-річчя РККА,проспект
50-річчя СРСР,вулиця
Івана Ткаченка,вулиця
Червоних Партизан,вулиця
Свердлова,вулиця
Раднаркомівська,вулиця
Лейтенанта Шмідта,вулиця
Макіївське,шосе
Постишева,вулиця
Гурова,проспект
Кирила і Мефодія,вулиця
Михайла Грушевського,вулиця
Панаса Саксаганського,вулиця
Князя Романа,вулиця
Александера Фредро,вулиця
Мирослава Скорика,вулиця
Ігоря Білозіра,вулиця
Ленінський,проспект
Джохара Дудаєва,вулиця
Теофіла Копистинського,вулиця
Полоцька,вулиця
Разенкова,вулиця
Харитонова,вулиця
Абрикосова,вулиця
Залютинська,вулиця
Сумський Шлях,вулиця
Каліча Гора,вулиця
Івана Григоровича,вулиця
Степана Руданського,вулиця
Василя Стефаника,вулиця
Старосольських,вулиця
Любові Шевцової,вулиця
Киргизька,вулиця
Рубіжанське,шосе
Літвинова,вулиця
Армавірська,вулиця
Антарктидна,вулиця
Бикова,проспект
Калініна,вулиця
250-річчя Донбасу,проспект
Антипова,вулиця
Професорів Богославських,вулиця
Дмитра Вітовського,вулиця
Емаліровочная,вулиця
Редутна,вулиця
Козятинський,провулок
Левандовська,вулиця
Йова Борецького,провулок
Лабораторний,провулок
Франца Лендера,вулиця
Хмельницьке,шосе
28 Червня,вулиця
Височана,вулиця
Наливайка,вулиця
Владичанського,вулиця
Орєшкова,провулок
Балканська,вулиця
Мала Гончарівська,вулиця
Воложанівська,вулиця
Олега Громадського,вулиця
Володимира Шевченка,вулиця
Горького,вулиця
Васіле Александрі,вулиця
Фабриціуса,вулиця
Барнаульська,вулиця
21-го МЮДу,вулиця
Пролєтарскій,провулок
Храмова,вулиця
Болгарський,провулок
Октябрська,вулиця
Красноармійська,вулиця
Шахтобудівельників,бульвар
Нахимова,проспект
2-га Краснознаменна,вулиця
Митрополита Володимира,вулиця
Вадима Коростюка,вулиця
Свято-Дмитріївська,вулиця
Печерська,площа
Тепловозна,вулиця
Пожежна,вулиця
Сонячна,вулиця
Калугіна,вулиця
Заводская,вулиця
Олександра Кониського,вулиця
Південнорадіальна,вулиця
Лянгузова,вулиця
1-а Горська,вулиця
Івана Драча,вулиця
Ростиславська,вулиця
Октябрьской Революции,проспект
Античный,проспект
Квітки-Основʼяненка,вулиця
Зіновії Канюк,вулиця
Ореста Криворучка,вулиця
Павла Каспрука,вулиця
Корнелія Дзержика,вулиця
Заставнянська,вулиця
Капеланська,вулиця
Чернишевського,вулиця
Георгія Димитрова,вулиця
Оборони,площа
Євгена Харченка,вулиця
Бежівка,вулиця
Паркова,вулиця
Військкоматівський,провулок
40-річчя Жовтня,вулиця
Катерини Гандзюк,вулиця
Кубанської України,вулиця
Милославська,вулиця
Радунська,вулиця
Річкова,вулиця
Кооперативна,вулиця
Азербайджанська,вулиця
Гроденська,вулиця
Підгір’я,вулиця
Чугуївська,вулиця
Шестаківська,вулиця
Соколина,вулиця
Благонравова,вулиця
Чемпіонна,вулиця
Кріпильників,вулиця
Римського-Корсакова,вулиця
Огородна,вулиця
Рєпіна,вулиця
2-га Кєрамічєская,вулиця
1-а Керамічна,вулиця
2-а Кожевна,вулиця
Правди,провулок
Городна,вулиця
Ювілейна,вулиця
Одеське,шосе
Леваневського,вулиця
Отамана Зеленого,вулиця
Павла Петриченка,вулиця
Дібровецька,вулиця
Гетьмана Дорошенка,вулиця
Тернівська,вулиця
Кайндля Раймунда Фрідріха,вулиця
Антона Кохановського,вулиця
Теплична,вулиця
Рівненська,вулиця
Підлісна,вулиця
Ясинуватське,шосе
Інтеркультурна,вулиця
Гур’ївська,вулиця
Полководницька,вулиця
Братів Чибінєєвих,вулиця
Камʼянська,вулиця
Тополина,вулиця
Головіна,вулиця
Квітнева,вулиця
Літакова,вулиця
